,Player,Short Name,Player ID,Birthdate,Team,Competition,Season,Season ID,Position Group,Minutes,PSV-99,TOP 5 PSV-99,Total Distance P90,M/min P90,Running Distance P90,HSR Distance P90,HSR Count P90,Sprinting Distance P90,Sprint Count P90,HI Distance P90,HI Count P90,Medium Acceleration Count P90,High Acceleration Count P90,Medium Deceleration Count P90,High Deceleration Count P90,Explosive Acceleration to HSR Count P90,Explosive Acceleration to Sprint Count P90,Note xPhysical,Note xPhy TOP 5 PSV-99,Note xPhy HI Distance P90,Note xPhy Total Distance P90,Note xPhy HSR Distance P90,Note xPhy Sprinting Distance P90,Note xPhy Sprint Count P90,Note xPhy High Acceleration Count P90,Note xPhy_max,xPhysical,Age
1174,Ousmane Dembélé,O. Dembélé,8287,1997-05-15,Paris Saint-Germain,FRA - Ligue 1,2024/2025,95,Wide Attacker,79.4,29.71,31.0,9899.74,110.0,1446.22,644.48,63.99,250.93,12.78,895.41,76.77,108.1,10.72,88.42,20.4,8.76,2.89,26,4,2,1,3,3,3,10,56,46.0,28.0
1175,Pablo Ezequiel De Blasis,P. De Blasis,8315,1988-02-04,Gimnasia y Esgrima La Plata,ARG - Primera Division - 1st Phase,2024/2024,29,Midfield,90.2,25.38,26.58,10171.25,113.01,1587.99,429.73,35.0,47.05,2.38,476.78,37.38,94.86,3.53,79.59,12.05,1.84,0.46,1,0,0,0,0,0,0,1,46,2.0,37.0
1176,Pablo Ezequiel De Blasis,P. De Blasis,8315,1988-02-04,Gimnasia y Esgrima La Plata,ARG - Primera Division - 1st Phase,2025/2025,128,Midfield,86.45,26.24,26.24,10471.23,116.35,1660.29,498.05,38.1,64.55,3.96,562.59,42.06,92.24,2.91,86.62,10.41,0.83,0.0,5,0,1,3,1,0,0,0,46,11.0,37.0
1177,Pablo Ezequiel De Blasis,P. De Blasis,8315,1988-02-04,Gimnasia y Esgrima La Plata,ARG - Primera Division - 2nd Phase,2024/2024,29,Midfield,93.66,26.15,27.0,10455.89,116.18,1794.03,575.01,44.82,82.03,3.93,657.04,48.75,96.97,3.49,82.9,10.66,2.18,0.35,9,0,1,3,3,1,0,1,46,20.0,37.0
1178,Pablo Fornals Malla,Pablo Fornals,8316,1996-02-22,Real Betis Balompié,ESP - LaLiga,2024/2025,95,Midfield,78.64,26.46,27.52,11396.85,126.63,2095.85,596.57,50.5,105.87,5.58,702.43,56.08,108.58,2.86,95.14,10.01,2.0,0.14,17,0,2,10,3,1,1,0,46,37.0,29.0
1179,Pablo Fornals Malla,Pablo Fornals,8316,1996-02-22,Real Betis Balompié,ESP - LaLiga,2023/2024,28,Wide Attacker,90.63,28.63,29.8,11020.0,122.44,1881.89,839.35,72.19,249.02,14.13,1088.37,86.32,116.41,5.88,94.42,19.4,4.43,1.3,24,0,4,7,7,3,3,0,56,43.0,29.0
1180,Pablo Fornals Malla,Pablo Fornals,8316,1996-02-22,Real Betis Balompié,ESP - LaLiga,2024/2025,95,Wide Attacker,87.81,28.26,29.22,10690.22,118.78,1704.08,717.43,63.09,197.24,10.7,914.67,73.79,111.49,5.47,91.44,16.63,3.99,1.02,16,0,2,7,5,1,1,0,56,29.0,29.0
1181,Pablo Marí Villar,Pablo Marí,8324,1993-08-31,Fiorentina,ITA - Serie A,2024/2025,95,Central Defender,97.71,28.76,29.76,8797.93,97.75,885.43,285.55,28.32,89.0,5.18,374.55,33.51,88.08,4.38,71.62,10.36,3.22,1.73,6,3,0,0,0,1,1,1,51,12.0,32.0
1182,Pablo Marí Villar,Pablo Marí,8324,1993-08-31,Associazione Calcio Monza,ITA - Serie A,2023/2024,28,Central Defender,93.67,28.67,31.04,9021.56,100.24,912.15,253.92,27.66,77.73,4.47,331.65,32.14,100.65,4.8,81.97,11.03,3.05,0.73,13,9,0,1,0,0,0,3,51,25.0,32.0
1183,Pablo Marí Villar,Pablo Marí,8324,1993-08-31,Associazione Calcio Monza,ITA - Serie A,2024/2025,95,Central Defender,97.94,28.75,30.52,8976.92,99.74,950.76,283.8,28.54,89.95,4.54,373.75,33.08,101.68,4.65,83.25,10.22,3.35,0.81,11,6,0,1,0,1,0,3,51,22.0,32.0
1184,Pablo Daniel Piatti,P. Piatti,8332,1989-03-31,Estudiantes de La Plata,ARG - Primera Division - 2nd Phase,2024/2024,29,Wide Attacker,73.68,27.6,27.82,11643.41,129.37,2216.1,989.17,76.75,163.67,10.59,1152.84,87.33,133.34,7.53,101.58,23.21,4.89,1.63,22,0,4,7,7,0,1,3,56,39.0,36.0
1185,Pablo Sarabia García,Pablo Sarabia,8335,1992-05-11,Wolverhampton Wanderers,ENG - Premier League,2023/2024,28,Midfield,87.43,28.26,29.06,10764.08,119.6,1889.07,826.37,77.1,214.41,12.04,1040.78,89.14,119.61,8.13,98.92,21.72,5.97,1.54,36,5,4,5,7,4,4,7,46,78.0,33.0
1186,Pablo Sarabia García,Pablo Sarabia,8335,1992-05-11,Wolverhampton Wanderers,ENG - Premier League,2023/2024,28,Wide Attacker,81.69,29.44,30.06,11231.48,124.79,1942.26,905.92,80.43,286.32,16.25,1192.24,96.68,126.84,8.95,103.01,24.1,7.16,2.2,35,0,4,7,7,5,5,7,56,62.0,33.0
1187,Pantelis Hatzidiakos,P. Hatzidiakos,8352,1997-01-18,Cagliari,ITA - Serie A,2023/2024,28,Central Defender,86.58,29.09,29.48,9510.81,105.68,1067.02,338.74,34.75,115.84,6.24,454.58,40.99,107.22,3.71,84.65,12.62,2.52,0.45,14,0,2,5,1,3,3,0,51,27.0,28.0
1188,Pantelis Hatzidiakos,P. Hatzidiakos,8352,1997-01-18,FC Copenhagen,DEN - Superliga,2024/2025,95,Central Defender,99.51,28.27,30.44,9199.48,102.22,1054.55,315.84,30.12,75.61,4.52,391.45,34.64,103.74,4.12,83.75,10.45,2.4,0.77,9,6,1,1,0,0,0,1,51,18.0,28.0
1189,Pascal Groß,P. Groß,8391,1991-06-15,Borussia Dortmund,GER - Bundesliga,2024/2025,95,Midfield,87.85,26.04,27.78,12057.05,133.97,2618.6,724.2,51.79,86.11,5.03,810.31,56.81,124.57,2.79,107.53,13.64,1.82,0.33,25,3,3,10,7,1,1,0,46,54.0,34.0
1190,Pascal Groß,P. Groß,8391,1991-06-15,Brighton and Hove Albion,ENG - Premier League,2023/2024,28,Midfield,100.78,26.16,27.74,11238.11,124.87,2206.82,645.81,47.2,85.22,5.17,731.04,52.37,122.89,3.13,104.78,12.47,1.56,0.29,22,3,2,10,5,1,1,0,46,48.0,34.0
1191,Pascal Groß,P. Groß,8391,1991-06-15,Brighton and Hove Albion,UEFA - Europa League,2023/2024,28,Midfield,98.92,26.09,26.86,10992.53,122.14,1988.89,584.65,41.85,68.01,3.64,652.65,45.49,116.11,2.73,98.6,10.12,1.14,0.34,11,0,1,7,3,0,0,0,46,24.0,34.0
1192,Patricio Gabarrón Gil,Patric,8396,1993-04-17,Lazio,ITA - Serie A,2023/2024,28,Central Defender,97.57,28.94,30.7,10129.22,112.55,1356.48,440.39,42.0,136.36,7.87,576.75,49.87,103.69,4.4,83.4,10.53,2.55,0.92,37,6,4,7,7,5,7,1,51,73.0,32.0
1193,Patricio Gabarrón Gil,Patric,8396,1993-04-17,Lazio,ITA - Serie A,2024/2025,95,Central Defender,91.94,28.85,29.3,9643.78,107.15,1148.72,409.17,38.67,137.86,7.67,547.03,46.33,94.63,4.24,79.13,11.26,2.61,0.65,24,0,3,5,5,5,5,1,51,47.0,32.0
1194,Patrick Bamford,P. Bamford,8401,1993-09-05,Leeds United,ENG - Championship,2023/2024,28,Center Forward,88.2,28.57,29.74,10009.79,111.22,1504.98,761.17,71.91,227.08,14.22,988.24,86.12,112.65,9.32,91.77,20.41,7.21,2.45,29,0,4,5,7,5,5,3,50,58.0,32.0
1195,Paddy McNair,P. McNair,8417,1995-04-27,Middlesbrough,ENG - Championship,2023/2024,28,Central Defender,98.11,28.31,29.96,9606.94,106.74,1225.91,399.75,35.26,93.06,5.45,492.81,40.71,101.2,3.96,82.74,9.29,1.95,0.4,18,3,3,5,5,1,1,0,51,35.0,30.0
1196,Patrick Roberts,P. Roberts,8425,1997-02-05,Sunderland,ENG - Championship,2023/2024,28,Wide Attacker,85.15,28.44,29.96,9993.58,111.04,1472.46,681.33,60.49,203.18,11.81,884.51,72.31,108.8,7.58,86.29,19.77,5.66,2.18,15,0,2,3,5,1,1,3,56,27.0,28.0
1197,Patrick Roberts,P. Roberts,8425,1997-02-05,Sunderland,ENG - Championship,2024/2025,95,Wide Attacker,88.42,27.56,29.34,10078.79,111.99,1519.28,659.07,57.38,154.27,9.46,813.34,66.85,114.74,8.56,90.7,18.73,5.64,1.1,12,0,1,3,3,0,0,5,56,21.0,28.0
1198,Patrick  van Aanholt,P. van Aanholt,8427,1990-08-29,PSV Eindhoven,NED - Eredivisie,2023/2024,28,Full Back,93.17,29.99,31.68,9843.31,109.37,1275.55,540.26,53.61,227.97,12.85,768.23,66.46,94.86,6.95,79.5,12.46,5.89,3.28,22,10,1,3,1,3,3,1,53,42.0,35.0
1199,Patrick  van Aanholt,P. van Aanholt,8427,1990-08-29,Sparta Rotterdam,NED - Eredivisie,2024/2025,95,Full Back,95.99,29.89,31.54,9715.39,107.95,1221.61,472.67,46.77,180.47,8.99,653.14,55.76,90.29,5.52,76.39,12.19,4.36,1.88,12,10,0,1,0,1,0,0,53,23.0,35.0
1200,João Paulo Dias Fernandes,Paulinho,8496,1992-11-09,Sporting CP,POR - Primeira Liga,2023/2024,28,Wide Attacker,94.09,29.14,29.14,9903.0,110.03,1385.77,687.91,65.23,277.96,14.92,965.87,80.15,114.97,7.65,94.88,17.98,5.74,2.87,24,0,3,1,5,5,5,5,56,43.0,33.0
1201,Paulo Bruno Exequiel Dybala,P. Dybala,8504,1993-11-15,Roma,ITA - Serie A,2023/2024,28,Center Forward,86.07,25.81,26.6,10354.97,115.06,1506.66,486.38,41.26,64.43,4.34,550.8,45.61,93.46,4.58,73.43,10.78,2.73,0.24,8,0,0,7,1,0,0,0,50,16.0,32.0
1202,Paulo Bruno Exequiel Dybala,P. Dybala,8504,1993-11-15,Roma,ITA - Serie A,2024/2025,95,Center Forward,80.33,26.6,26.88,10815.31,120.17,1624.41,572.34,46.5,82.16,4.48,654.51,50.98,96.54,5.04,82.35,9.34,3.55,0.56,10,0,0,7,3,0,0,0,50,20.0,32.0
1203,Paulo Bruno Exequiel Dybala,P. Dybala,8504,1993-11-15,Roma,ITA - Serie A,2024/2025,95,Midfield,84.32,27.5,28.36,10064.29,111.83,1448.39,509.43,43.91,133.88,7.17,643.3,51.08,92.71,3.66,79.9,10.83,2.74,1.07,10,3,1,0,1,2,2,1,46,22.0,32.0
1204,Paulo Bruno Exequiel Dybala,P. Dybala,8504,1993-11-15,Roma,ITA - Serie A,2023/2024,28,Wide Attacker,81.76,26.1,26.4,10523.88,116.93,1598.74,486.74,40.36,69.53,4.77,556.27,45.13,94.85,4.59,79.07,9.72,3.67,0.37,5,0,0,5,0,0,0,0,56,9.0,32.0
1205,Pavel Kadeřábek,P. Kadeřábek,8523,1992-04-25,TSG 1899 Hoffenheim,GER - Bundesliga,2023/2024,28,Full Back,94.43,28.3,29.56,10510.27,116.78,1519.8,565.41,51.39,145.92,8.79,711.33,60.18,112.25,6.85,96.15,18.57,4.62,0.99,10,0,1,7,1,0,0,1,53,19.0,33.0
1206,Pavel Kadeřábek,P. Kadeřábek,8523,1992-04-25,TSG 1899 Hoffenheim,GER - Bundesliga,2024/2025,95,Full Back,92.4,28.02,29.04,10213.49,113.48,1397.6,523.93,47.81,142.69,8.52,666.62,56.33,107.55,6.09,91.15,16.07,4.22,0.81,6,0,0,5,1,0,0,0,53,11.0,33.0
1207,Paweł Dawidowicz,P. Dawidowicz,8542,1995-05-20,Hellas Verona,ITA - Serie A,2023/2024,28,Central Defender,98.84,28.32,29.9,9433.89,104.82,1102.13,356.72,36.42,105.19,6.37,461.92,42.8,98.3,4.73,77.4,11.23,3.56,1.34,18,3,2,3,1,3,3,3,51,35.0,30.0
1208,Paweł Dawidowicz,P. Dawidowicz,8542,1995-05-20,Hellas Verona,ITA - Serie A,2024/2025,95,Central Defender,94.35,28.15,28.98,9591.93,106.58,1067.78,356.32,34.27,89.37,5.72,445.69,39.99,99.94,5.94,80.57,11.45,3.52,0.95,17,0,2,5,1,1,1,7,51,33.0,30.0
1209,Pedro Henrique Pereira da Silva,Pedro Henrique,8557,1992-12-18,AC Goianiense,BRA - Série A,2024/2024,29,Central Defender,101.34,29.94,29.94,8931.26,99.24,944.94,330.37,33.75,137.83,6.75,468.21,40.5,91.65,4.44,75.49,10.3,3.02,0.36,18,3,2,1,1,5,5,1,51,35.0,33.0
1210,Pedro Chirivella Burgos,Pedro Chirivella,8562,1997-05-23,FC Nantes,FRA - Ligue 1,2023/2024,28,Midfield,94.43,26.53,27.8,11177.54,124.19,2032.24,647.27,51.68,85.78,6.42,733.05,58.1,125.03,3.42,102.19,17.58,2.12,0.11,21,3,2,7,5,1,2,1,46,46.0,28.0
1211,Pedro Chirivella Burgos,Pedro Chirivella,8562,1997-05-23,FC Nantes,FRA - Ligue 1,2024/2025,95,Midfield,89.56,25.93,27.12,11088.24,123.2,2068.49,667.05,52.78,74.02,5.07,741.07,57.85,126.49,3.93,100.1,20.49,2.27,0.39,18,0,2,7,5,0,1,3,46,39.0,28.0
1212,Pedro  Mba Obiang Avomo,Pedro Obiang,8573,1992-03-27,Sassuolo,ITA - Serie A,2023/2024,28,Midfield,82.76,26.22,26.22,11241.93,124.91,2087.01,516.1,41.98,78.51,4.57,594.61,46.54,120.71,3.26,104.83,13.48,1.74,0.65,13,0,1,10,1,0,0,1,46,28.0,33.0
1213,Pedro  Mba Obiang Avomo,Pedro Obiang,8573,1992-03-27,Sassuolo,ITA - Serie B,2024/2025,95,Midfield,80.43,26.58,27.7,10246.3,113.85,1488.31,409.34,35.92,81.91,4.48,491.25,40.4,102.95,3.8,88.74,9.85,2.57,0.9,7,3,0,0,0,1,0,3,46,15.0,33.0
1214,Pedro Filipe Teodósio Mendes,Pedro Mendes,8574,1990-10-01,Amadora,POR - Primeira Liga,2023/2024,28,Central Defender,87.08,26.9,27.68,9663.33,107.37,1168.45,337.72,31.14,75.97,4.78,413.69,35.92,114.73,5.43,91.08,12.4,3.1,0.52,12,0,1,5,1,0,0,5,51,24.0,35.0
1215,Pedro Miguel Almeida Lopes Pereira,Pedro Pereira,8586,1998-01-22,Associazione Calcio Monza,ITA - Serie A,2024/2025,95,Central Defender,97.04,30.74,31.34,10112.99,112.37,1478.69,559.94,54.59,267.91,12.32,827.85,66.91,120.71,6.23,100.7,13.65,4.64,1.46,48,9,4,7,7,7,7,7,51,94.0,27.0
1216,Pedro Miguel Almeida Lopes Pereira,Pedro Pereira,8586,1998-01-22,Associazione Calcio Monza,ITA - Serie A,2023/2024,28,Full Back,80.62,30.32,30.58,10704.93,118.94,1630.2,874.26,79.82,413.41,19.72,1287.67,99.54,130.05,9.67,105.86,24.0,7.44,3.54,43,4,4,7,7,7,7,7,53,81.0,27.0
1217,Pedro Miguel Almeida Lopes Pereira,Pedro Pereira,8586,1998-01-22,Associazione Calcio Monza,ITA - Serie A,2024/2025,95,Full Back,85.1,30.76,31.92,10584.72,117.61,1642.27,814.91,73.7,395.27,17.16,1210.18,90.86,130.04,8.61,109.99,22.79,6.35,2.93,47,10,4,7,7,7,7,5,53,89.0,27.0
1218,Pedro Eliezer Rodríguez Ledesma,Pedro,8592,1987-07-28,Lazio,UEFA - Europa League,2024/2025,95,Wide Attacker,79.83,28.4,28.4,10072.12,111.91,1325.87,595.74,57.05,213.76,11.95,809.5,69.0,107.11,5.64,89.07,15.56,4.28,2.48,7,0,1,3,1,1,1,0,56,12.0,38.0
1219,Pedro Miguel Amorim Pereira da Silva,Pedro Tiba,8597,1988-08-31,Gil Vicente FC,POR - Primeira Liga,2023/2024,28,Midfield,85.41,26.76,27.98,10000.46,111.12,1261.21,313.21,30.56,65.33,3.53,378.54,34.09,87.71,3.04,71.65,10.79,1.61,0.43,3,3,0,0,0,0,0,0,46,7.0,37.0
1220,Pelle van Amersfoort,P. van Amersfoort,8606,1996-04-01,SC Heerenveen,NED - Eredivisie,2023/2024,28,Center Forward,81.21,28.73,30.96,10482.02,116.47,1424.18,575.63,55.9,175.16,10.6,750.78,66.5,107.26,7.66,90.11,14.74,4.96,1.45,23,6,1,7,3,1,3,2,50,46.0,29.0
1221,Képler Laveran Lima Ferreira,Pepe,8609,1983-02-26,FC Porto,POR - Primeira Liga,2023/2024,28,Central Defender,97.12,28.84,30.3,9419.32,104.66,1326.98,513.3,44.88,149.68,8.47,662.98,53.35,103.61,5.12,85.34,11.69,3.57,1.19,37,6,4,3,7,7,7,3,51,73.0,42.0
1222,Petar Brlek,P. Brlek,8618,1994-01-29,NK Osijek,CRO - 1.HNL,2023/2024,28,Midfield,84.97,26.84,27.6,10563.43,117.37,1505.24,435.4,39.57,73.85,4.91,509.26,44.48,102.64,3.27,88.1,8.57,2.31,0.19,5,0,0,3,0,0,1,1,46,11.0,31.0
1223,Philipe Sampaio Azevedo,P. Sampaio,8661,1994-11-11,Racing White Daring Molenbeek,BEL - Pro League,2023/2024,28,Central Defender,89.68,27.5,27.5,9250.69,102.79,1099.71,329.97,31.11,57.0,4.42,386.98,35.53,118.62,5.02,92.13,16.06,3.21,1.2,7,0,0,3,1,0,0,3,51,14.0,31.0
1224,Philipp Max,P. Max,8669,1993-09-30,Eintracht Frankfurt,GER - Bundesliga,2023/2024,28,Full Back,86.94,28.65,30.36,10796.81,119.96,1643.6,620.25,54.63,185.46,10.35,805.72,64.98,114.03,6.45,99.22,15.93,4.78,1.04,19,4,2,7,3,1,1,1,53,36.0,32.0
1225,Pierre-Emerick Aubameyang,P. Aubameyang,8692,1989-06-18,Olympique de Marseille,FRA - Ligue 1,2023/2024,28,Center Forward,90.45,30.79,32.4,9523.72,105.82,1233.29,591.25,66.27,274.71,16.0,865.96,82.27,109.26,11.94,88.32,24.68,8.48,2.91,39,14,3,1,3,7,7,4,50,78.0,36.0
1226,Pierre-Emerick Aubameyang,P. Aubameyang,8692,1989-06-18,Olympique de Marseille,UEFA - Europa League,2023/2024,28,Center Forward,89.62,30.68,31.5,9675.24,107.5,1342.69,609.96,68.04,303.91,16.19,913.87,84.23,118.0,13.06,95.15,25.73,9.41,3.14,37,10,3,1,5,7,7,4,50,74.0,36.0
1227,Pierre-Emile Højbjerg,P. Højbjerg,8693,1995-08-05,Tottenham Hotspur,ENG - Premier League,2023/2024,28,Midfield,86.85,28.16,28.96,10515.23,116.84,1827.98,681.87,60.0,165.39,10.36,847.25,70.36,121.97,7.05,100.1,19.9,4.66,1.14,32,5,3,3,7,3,4,7,46,70.0,30.0
1228,Pierre-Emile Højbjerg,P. Højbjerg,8693,1995-08-05,Olympique de Marseille,FRA - Ligue 1,2024/2025,95,Midfield,97.68,27.62,29.76,9999.48,111.11,1576.78,503.4,45.48,105.66,5.82,609.06,51.3,113.84,5.38,91.99,16.29,2.95,0.63,18,7,1,0,1,1,1,7,46,39.0,30.0
1229,Pieter Gerkens,P. Gerkens,8701,1995-02-17,KAA Gent,BEL - Pro League,2023/2024,28,Midfield,89.22,27.55,28.44,11465.68,127.4,2011.27,616.15,52.35,131.44,7.46,747.59,59.82,123.67,3.93,110.36,10.79,2.22,0.71,30,5,3,10,5,2,2,3,46,65.0,30.0
1230,Piotr Zieliński,P. Zieliński,8723,1994-05-20,Napoli,ITA - Serie A,2023/2024,28,Midfield,83.1,27.9,29.72,10857.61,120.64,1751.3,589.42,48.32,150.02,7.68,739.45,56.01,102.63,3.92,85.09,11.14,2.73,1.24,25,7,2,5,3,3,2,3,46,54.0,31.0
1231,Piotr Zieliński,P. Zieliński,8723,1994-05-20,Inter Milan,ITA - Serie A,2024/2025,95,Midfield,84.42,26.98,27.42,11393.6,126.6,1936.81,497.31,42.64,91.5,4.62,588.81,47.26,104.12,3.55,82.8,9.42,2.67,0.18,14,0,1,10,1,1,0,1,46,30.0,31.0
1232,Luís Miguel Afonso Fernandes,Pizzi,8729,1989-10-06,SC Braga,POR - Primeira Liga,2023/2024,28,Midfield,71.16,26.59,27.04,10266.85,114.08,1692.68,587.71,47.88,95.39,4.88,683.11,52.76,120.69,4.7,102.8,15.72,3.43,0.36,12,0,2,0,3,1,1,5,46,26.0,36.0
1233,Przemysław Frankowski,P. Frankowski,8744,1995-04-12,RC Lens,FRA - Ligue 1,2023/2024,28,Full Back,92.94,29.48,30.62,10244.3,113.83,1472.7,702.54,67.39,303.18,16.73,1005.73,84.12,106.08,7.57,92.61,16.02,6.07,2.55,37,4,4,5,7,7,7,3,53,70.0,30.0
1234,Przemysław Frankowski,P. Frankowski,8744,1995-04-12,RC Lens,FRA - Ligue 1,2024/2025,95,Full Back,95.27,29.75,30.52,10378.75,115.32,1492.15,762.07,70.78,301.08,16.53,1063.14,87.31,107.69,8.64,89.67,16.19,7.08,3.1,41,4,4,7,7,7,7,5,53,77.0,30.0
1235,Rade Krunić,R. Krunić,8772,1993-10-07,Milan,ITA - Serie A,2023/2024,28,Midfield,95.45,28.26,28.84,10498.82,116.65,1662.7,535.02,49.3,139.95,6.87,674.97,56.17,108.43,4.04,91.19,15.36,2.96,0.54,19,5,2,3,1,3,2,3,46,41.0,32.0
1236,Rafael Alexandre Fernandes Ferreira da Silva,Rafa Silva,8790,1993-05-17,SL Benfica,POR - Primeira Liga,2023/2024,28,Center Forward,85.77,31.88,32.16,10557.96,117.31,1499.66,744.67,77.82,415.01,20.11,1159.68,97.94,109.13,9.09,86.22,19.59,7.87,4.02,45,10,4,7,7,7,7,3,50,90.0,32.0
1237,Rafael Alexandre Fernandes Ferreira da Silva,Rafa Silva,8790,1993-05-17,SL Benfica,POR - Primeira Liga,2023/2024,28,Midfield,95.37,31.57,33.4,10014.99,111.28,1471.39,649.53,68.39,343.1,16.27,992.62,84.66,105.74,5.84,87.67,17.75,4.45,1.98,34,10,4,0,5,4,4,7,46,74.0,32.0
1238,Rafael Alexandre Fernandes Ferreira da Silva,Rafa Silva,8790,1993-05-17,Beşiktaş Jimnastik Kulübü,UEFA - Europa League,2024/2025,95,Midfield,89.32,29.94,29.94,10166.59,112.96,1552.99,626.15,62.68,259.57,13.91,885.72,76.58,105.2,5.84,83.64,18.14,4.84,1.61,34,10,4,0,5,4,4,7,46,74.0,32.0
1239,Luís Rafael Soares Alves,Rafa Soares,8791,1995-05-09,FC Famalicão,POR - Primeira Liga,2024/2025,95,Full Back,95.3,27.87,29.14,10376.89,115.3,1536.54,638.66,56.9,191.04,10.44,829.7,67.33,111.2,6.33,91.13,15.58,4.3,1.04,17,0,2,7,5,1,1,1,53,32.0,30.0
1240,Rafael Tolói,Rafael Tolói,8812,1990-10-10,Atalanta,ITA - Serie A,2023/2024,28,Central Defender,87.68,28.21,29.26,10084.15,112.05,1297.65,453.9,38.29,122.76,5.44,576.67,43.73,92.28,3.7,77.6,8.21,2.87,0.51,24,0,4,7,7,5,1,0,51,47.0,35.0
1241,Raffaele Maiello,R. Maiello,8833,1991-07-10,Bari,ITA - Serie B,2023/2024,28,Midfield,87.82,27.07,28.26,10158.66,112.87,1585.0,433.65,37.92,87.79,4.95,521.44,42.87,99.83,3.67,87.45,15.03,2.56,0.43,6,3,0,0,0,1,1,1,46,13.0,34.0
1242,Raffaele Pucino,R. Pucino,8835,1991-05-03,Bari,ITA - Serie B,2024/2025,95,Central Defender,98.65,29.02,30.94,8701.77,96.69,918.5,318.98,29.19,94.5,4.79,413.48,33.98,89.26,3.8,73.48,10.04,2.09,0.72,11,9,1,0,0,1,0,0,51,22.0,34.0
1243,Raffaele Pucino,R. Pucino,8835,1991-05-03,Bari,ITA - Serie B,2023/2024,28,Full Back,95.65,28.26,29.46,8898.61,98.87,1034.22,402.62,39.0,123.6,6.93,526.22,45.93,97.85,5.9,84.25,15.48,3.59,1.37,0,0,0,0,0,0,0,0,53,0.0,34.0
1244,Márcio Rafael Ferreira de Souza,Rafinha,8842,1985-09-07,São Paulo FC,BRA - Série A,2024/2024,29,Full Back,82.84,26.87,27.14,8755.38,97.28,1010.54,359.96,34.4,79.85,5.07,439.81,39.47,93.25,5.61,80.03,13.4,4.16,1.99,0,0,0,0,0,0,0,0,53,0.0,40.0
1245,Raheem Sterling,R. Sterling,8846,1994-12-08,Chelsea,ENG - Premier League,2023/2024,28,Wide Attacker,90.07,31.8,33.18,8853.18,98.37,1050.54,600.99,69.52,363.52,18.32,964.51,87.83,99.3,13.89,81.08,25.41,11.42,5.33,42,14,3,0,1,7,7,10,56,75.0,31.0
1246,Rajiv van La Parra,R. van La Parra,8848,1991-06-04,Almere City FC,NED - Eredivisie,2023/2024,28,Center Forward,78.35,29.89,31.36,10752.91,119.48,1637.63,726.6,71.95,256.72,15.75,983.32,87.71,111.83,8.94,89.76,17.97,6.73,1.97,45,10,4,7,7,7,7,3,50,90.0,34.0
1247,Rajiv van La Parra,R. van La Parra,8848,1991-06-04,K Beerschot VA,BEL - Pro League,2024/2025,95,Wide Attacker,95.22,28.5,28.86,9992.59,111.03,1463.27,637.69,61.02,178.33,11.55,816.02,72.57,102.5,6.93,81.92,17.12,5.15,1.16,11,0,1,3,3,0,1,3,56,20.0,34.0
1248,Rajiv van La Parra,R. van La Parra,8848,1991-06-04,Almere City FC,NED - Eredivisie,2023/2024,28,Wide Attacker,87.03,28.18,28.18,10403.94,115.6,1552.58,640.93,61.01,216.54,10.96,857.46,71.97,107.96,7.86,83.76,21.72,5.58,1.45,16,0,1,5,3,1,1,5,56,29.0,34.0
1249,Ramy Bensebaini,R. Bensebaini,8863,1995-04-16,Borussia Dortmund,GER - Bundesliga,2023/2024,28,Full Back,93.26,29.85,31.22,9937.81,110.42,1337.67,618.6,60.99,272.82,13.9,891.43,74.89,108.18,8.01,91.58,18.72,4.92,2.41,30,6,3,3,3,7,5,3,53,57.0,30.0
1250,Ramy Bensebaini,R. Bensebaini,8863,1995-04-16,Borussia Dortmund,GER - Bundesliga,2024/2025,95,Full Back,88.3,29.12,31.24,9839.52,109.33,1263.45,487.44,49.81,177.98,9.49,665.42,59.31,104.15,5.99,88.8,15.86,3.76,1.08,10,6,0,3,0,1,0,0,53,19.0,30.0
1251,Rani Khedira,R. Khedira,8866,1994-01-27,FC Union Berlin,GER - Bundesliga,2023/2024,28,Midfield,87.21,27.02,29.8,10171.74,113.02,1447.05,465.34,39.54,83.78,4.13,549.13,43.66,109.64,3.48,99.45,15.87,2.13,0.45,12,10,0,0,0,1,0,1,46,26.0,31.0
1252,Rani Khedira,R. Khedira,8866,1994-01-27,FC Union Berlin,GER - Bundesliga,2024/2025,95,Midfield,96.08,27.05,28.7,10776.33,119.74,1754.0,586.73,48.06,105.71,6.02,692.44,54.08,116.66,3.49,102.9,17.08,2.02,0.43,18,5,2,5,3,1,1,1,46,39.0,31.0
1253,Raphaël Adelino José Guerreiro,Raphaël Guerreiro,8869,1993-12-22,FC Bayern Munchen,GER - Bundesliga,2023/2024,28,Full Back,89.32,27.53,27.84,10313.46,114.59,1675.82,737.29,59.88,186.27,10.65,923.56,70.53,115.88,6.62,92.99,18.86,4.03,0.72,18,0,3,5,7,1,1,1,53,34.0,32.0
1254,Raphaël Adelino José Guerreiro,Raphaël Guerreiro,8869,1993-12-22,FC Bayern Munchen,GER - Bundesliga,2024/2025,95,Full Back,81.79,27.21,28.46,11059.68,122.89,1721.41,659.09,58.1,140.69,8.14,799.79,66.24,121.4,6.38,100.57,20.91,3.96,1.1,15,0,2,7,5,0,0,1,53,28.0,32.0
